Name,Domain
AT&T Enterprise Paging,page.att.net
AT&T Wireless,txt.att.net
Alaska Communication Systems,msg.acsalaska.com
Alltel,text.wireless.alltel.com
Bluegrass Cellular,sms.bluecell.com
Boost Mobile,myboostmobile.com
Cellcom,cellcom.quiktxt.com
Cellular South (C Spire),cellularsouth1.com
Centennial Wireless,cwemail.com
Cincinnati Bell,gocbw.com
Cingular,cingular.com
Cingular Prepaid,cingulartext.com
Cricket Wireless,mms.cricketwireless.net
Digicel St. Lucia,digitextlc.com
GCI Alaska Digitel (GCI),mobile.gci.net
IV Cellular (Illinois Valley Cellular),ivctext.com
i wireless (iWireless),iwspcs.net
Lime,txt2lime.com
Koodo Mobile,msg.telus.com
Metro PCS,mymetropcs.com
MTS Mobility,text.mtsmobility.com
Orange,orange.net
Nex-Tech,sms.nextechwireless.com
nTelos,pcs.ntelos.com
PTel Mobile,tmomail.net
Pioneer Cellular,zsend.com
Pocket Wireless,sms.pocket.com
Republic Wireless,text.republicwireless.com
Rogers Wireless,pcs.rogers.com
SaskTel,sms.sasktel.com
Sprint,messaging.sprintpcs.com
Syringa Wireless,rinasms.com
T-Mobile,tmomail.net
Telstra,onlinesms.telstra.com
Telus Mobility,msg.telus.com
US Cellular,email.uscc.net
Unicel,utext.com
Verizon,vtext.com
Viaero,viaerosms.com
Virgin Mobile,vmobl.com
